Timecode List:,00:00:10.677,00:00:13.263,00:00:14.223,00:00:16.558,00:00:17.267,00:00:21.855,00:00:23.106,00:00:28.987,00:00:36.620,00:00:42.084,00:00:48.298,00:00:50.008,00:00:50.759,00:00:52.344,00:00:53.971,00:00:56.181,00:01:04.189,00:01:05.899,00:01:07.359,00:01:10.028,00:01:11.446,00:01:12.781,00:01:15.075,00:01:16.743,00:01:23.458,00:01:24.543,00:01:25.168,00:01:26.503,00:01:30.674,00:01:34.553,00:01:36.513,00:01:40.642,00:01:41.268,00:01:42.894,00:01:44.646,00:01:46.732,00:01:53.780,00:01:55.949,00:02:00.329,00:02:03.457,00:02:05.208,00:02:06.168,00:02:07.294,00:02:08.378,00:02:10.088,00:02:11.798,00:02:14.343,00:02:15.677,00:02:16.511,00:02:17.763,00:02:20.432,00:02:24.102,00:02:27.689,00:02:28.523,00:02:29.483,00:02:31.026,00:02:31.651,00:02:33.862,00:02:38.200,00:02:40.535,00:02:42.371,00:02:45.374,00:02:46.750,00:02:49.961,00:02:55.384,00:02:56.927,00:02:59.388,00:03:00.138,00:03:03.725,00:03:06.144,00:03:09.439,00:03:11.483,00:03:17.114,00:03:20.534,00:03:22.452,00:03:23.995,00:03:27.165,00:03:29.000,00:03:31.044,00:03:32.003,00:03:32.712,00:03:34.131,00:03:36.341,00:03:38.677,00:03:39.511,00:03:41.179,00:03:43.557,00:03:48.812,00:03:49.438,00:03:53.442,00:03:55.861,00:03:59.114,00:04:00.866,00:04:07.247,00:04:10.584,00:04:13.336,00:04:14.546,00:04:18.717,00:04:22.304,00:04:22.971,00:04:23.680,00:04:28.185,00:04:35.484,00:04:37.360,00:04:38.778,00:04:46.161
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,256,00:00:10.677,10.677,256,00:00:10.677,10.677
2,256,00:00:10.677,10.677,318,00:00:13.263,13.263,62,00:00:02.586,2.586
3,318,00:00:13.263,13.263,341,00:00:14.223,14.223,23,00:00:00.959,0.959
4,341,00:00:14.223,14.223,397,00:00:16.558,16.558,56,00:00:02.336,2.336
5,397,00:00:16.558,16.558,414,00:00:17.267,17.267,17,00:00:00.709,0.709
6,414,00:00:17.267,17.267,524,00:00:21.855,21.855,110,00:00:04.588,4.588
7,524,00:00:21.855,21.855,554,00:00:23.106,23.106,30,00:00:01.251,1.251
8,554,00:00:23.106,23.106,695,00:00:28.987,28.987,141,00:00:05.881,5.881
9,695,00:00:28.987,28.987,878,00:00:36.620,36.620,183,00:00:07.633,7.633
10,878,00:00:36.620,36.620,1009,00:00:42.084,42.084,131,00:00:05.464,5.464
11,1009,00:00:42.084,42.084,1158,00:00:48.298,48.298,149,00:00:06.215,6.215
12,1158,00:00:48.298,48.298,1199,00:00:50.008,50.008,41,00:00:01.710,1.710
13,1199,00:00:50.008,50.008,1217,00:00:50.759,50.759,18,00:00:00.751,0.751
14,1217,00:00:50.759,50.759,1255,00:00:52.344,52.344,38,00:00:01.585,1.585
15,1255,00:00:52.344,52.344,1294,00:00:53.971,53.971,39,00:00:01.627,1.627
16,1294,00:00:53.971,53.971,1347,00:00:56.181,56.181,53,00:00:02.211,2.211
17,1347,00:00:56.181,56.181,1539,00:01:04.189,64.189,192,00:00:08.008,8.008
18,1539,00:01:04.189,64.189,1580,00:01:05.899,65.899,41,00:00:01.710,1.710
19,1580,00:01:05.899,65.899,1615,00:01:07.359,67.359,35,00:00:01.460,1.460
20,1615,00:01:07.359,67.359,1679,00:01:10.028,70.028,64,00:00:02.669,2.669
